id_categoria,nom_categoria,id_subcategoria,nom_subcategoria,id_producto,nom_producto,descripcion_producto,companyia,precio,unidades
3,Imagen,8,Proyectores,10025,LG CineBeam HU85LA,The LG CineBeam HU85LA is a short-throw 4K laser projector with smart TV features and voice control.,LG,3000,10
3,Imagen,9,Cámaras,10026,Alpha 7 IV,The Alpha 7 IV is a full-frame mirrorless camera with advanced autofocus and high-resolution image sensor.,Sony,2500,30
3,Imagen,9,Cámaras,10027,EOS R6,The EOS R6 is a mirrorless camera from Canon with excellent image stabilization and 4K video recording capabilities.,Canon,2800,25
3,Imagen,9,Cámaras,10028,Lumix GH5,The Lumix GH5 is a versatile mirrorless camera with professional-grade video features and rugged design.,Panasonic,2000,20
4,Audio,10,Auriculares,10029,Sony WH-1000XM4,The Sony WH-1000XM4 is a top-of-the-line wireless noise-canceling headphones with excellent sound quality.,Sony,300,100
4,Audio,10,Auriculares,10030,AirPods Pro,The AirPods Pro are premium wireless earbuds with active noise cancellation and a comfortable fit.,Apple,250,150
4,Audio,10,Auriculares,10031,Pixel Buds,The Pixel Buds are wireless earbuds from Google with hands-free Google Assistant and real-time translation.,Google,180,120
4,Audio,11,Altavoces Bluetooth,10032,JBL Flip 5,The JBL Flip 5 is a portable Bluetooth speaker with powerful sound and a durable design.,JBL,100,80
4,Audio,11,Altavoces Bluetooth,10033,UE Boom 3,The UE Boom 3 is a waterproof Bluetooth speaker with 360-degree sound and long battery life.,UE,120,70
4,Audio,11,Altavoces Bluetooth,10034,Sonos Move,The Sonos Move is a durable Bluetooth speaker with built-in Alexa and Google Assistant.,Sonos,400,65
4,Audio,12,Barras de sonido,10035,Bose Noise Cancelling Headphones 700,The Bose Noise Cancelling Headphones 700 offer excellent noise cancellation and premium audio quality.,Bose,350,90
4,Audio,12,Barras de sonido,10036,Sennheiser Momentum 3 Wireless,The Sennheiser Momentum 3 Wireless headphones feature active noise cancellation and refined design.,Sennheiser,400,60
4,Audio,12,Barras de sonido,10037,Beats Studio3 Wireless,The Beats Studio3 Wireless headphones feature adaptive noise cancellation and up to 22 hours of battery life.,Beats,300,75
